method,dataset,completed,valid_test_predictions,median_test_mse,mean_test_mse,median_test_nmse,mean_test_nmse,median_test_r2,mean_test_r2,median_expr_complexity,mean_expr_complexity,median_runtime_sec,mean_runtime_sec,invalid_test_predictions,valid_test_prediction_rate,expected,complete
dso,emps,20,20,0.09160194181377804,0.08865440224761718,0.5115490541881018,0.49508858351034163,0.48845094581189813,0.5049114164896584,19.0,18.5,48.52615702152252,52.58011333942413,0,1.0,20,True
dso,roughpipe,20,20,0.04452111989221928,0.044493908345529784,0.8291680980612404,0.8286613060832206,0.17083190193875958,0.1713386939167795,12.5,12.5,38.70620322227478,43.10379025936127,0,1.0,20,True
gplearn,emps,20,20,0.012242025060991618,0.035608522844778764,0.06836532301933541,0.1988550223019635,0.9316346769806646,0.8011449776980365,7.0,6.9,89.57428121566772,89.52679687738419,0,1.0,20,True
gplearn,roughpipe,20,20,0.01499378902848157,0.016569046687121777,0.2792466038943978,0.30858444175501676,0.7207533961056022,0.6914155582449832,7.0,7.05,89.55373096466064,93.24769141674042,0,1.0,20,True
linear_ls,emps,1,1,0.009688666494659026,0.009688666494659026,0.05410614757231381,0.05410614757231381,0.9458938524276862,0.9458938524276862,11.0,11.0,0.03729438781738281,0.03729438781738281,0,1.0,1,True
linear_ls,roughpipe,1,1,0.05441820793084208,0.05441820793084208,1.0127134848190473,1.0127134848190473,-0.012713484819047327,-0.012713484819047327,5.0,5.0,0.03396272659301758,0.03396272659301758,0,1.0,1,True
llm_sr,emps,20,20,0.009688645215462154,0.009688645215462154,0.05410602873910113,0.05410602873910113,0.9458939712608989,0.9458939712608989,11.0,11.0,92.66398572921753,92.71744577884674,0,1.0,20,True
llm_sr,roughpipe,20,20,0.01211741446933008,0.021927803143423363,0.2255029980007304,0.40807264296582113,0.7744970019992696,0.5919273570341789,11.0,10.2,100.07350718975067,101.72911359071732,0,1.0,20,True
operon,emps,20,20,0.01010112442034016,0.010101682007356188,0.05640950989844776,0.056412623731026276,0.9435904901015523,0.9435873762689738,8.0,8.0,90.30778586864471,90.60552424192429,0,1.0,20,True
operon,roughpipe,20,20,0.002742179477639654,0.004139222258393489,0.05107076703194981,0.07708950394225576,0.9489292329680502,0.9229104960577443,12.0,12.05,90.30094301700592,90.32213973999023,0,1.0,20,True
physics_ls,emps,1,1,0.0006512867564164466,0.0006512867564164466,0.003637096743291504,0.003637096743291504,0.9963629032567085,0.9963629032567085,12.0,12.0,0.0011377334594726562,0.0011377334594726562,0,1.0,1,True
pse,emps,20,20,0.009672637601086047,0.009673106217768231,0.054016634564351504,0.0540192515440334,0.9459833654356485,0.9459807484559667,11.0,11.0,100.28739809989929,102.6422993183136,0,1.0,20,True
pse,roughpipe,20,20,0.003578702092213541,0.004902053351555852,0.06665029124406797,0.09129658606846157,0.933349708755932,0.9087034139315385,14.0,14.05,94.70985293388367,95.22090964317321,0,1.0,20,True
pysr,emps,20,19,0.010608824517990098,0.028688458142397323,0.05924475006499375,0.1602100712962279,0.9407552499350063,0.8397899287037721,8.0,8.15,142.6636290550232,140.74962174892426,1,0.95,20,True
pysr,roughpipe,20,20,0.004175095206514601,0.007547890895170337,0.07769780330535912,0.14046495065027084,0.9223021966946409,0.8595350493497291,11.0,11.3,143.39415287971497,142.8630993962288,0,1.0,20,True
vega_sr,emps,20,20,0.0006512867564139529,0.0006512867564139529,0.003637096743277578,0.0036370967432775786,0.9963629032567224,0.9963629032567225,12.0,12.0,21.13965082168579,21.350767922401428,0,1.0,20,True
vega_sr,roughpipe,20,20,0.0017903048376452092,0.0017903048376452092,0.03331726493684304,0.03331726493684304,0.9666827350631569,0.9666827350631569,30.0,30.0,20.84301471710205,21.067038679122923,0,1.0,20,True
